cena,povrsina,grejanje,spratnost,infrastruktura,udaljenost_od_centra
125000.0,65.0,centralno grejanje,4,ima,5.991407294327586
99900.0,32.0,grejanje na struju,3,nema,0.5684329397312319
79000.0,44.0,etažno grejanje,prizemlje,nema,5.534553728293426
50000.0,36.0,centralno grejanje,prizemlje,nema,3.733383622199876
165000.0,89.0,centralno grejanje,1,nema,5.683609052509876
97200.0,54.0,norveški radijatori,2,nema,5.536197924119668
90000.0,50.0,norveški radijatori,prizemlje,nema,5.536197924119668
82800.0,47.0,norveški radijatori,prizemlje,nema,5.536197924119668
112500.0,62.0,norveški radijatori,1,ima,5.536197924119668
290000.0,237.0,podno grejanje,4,ima,5.390572990158322
205000.0,58.0,centralno grejanje,1,nema,2.0715103600216773
138000.0,73.0,centralno grejanje,6,ima,0.42666109115793055
225000.0,103.0,grejanje na struju,1,ima,1.525684079345828
55000.0,26.0,grejanje na struju,prizemlje,ima,3.1073174620322597
48000.0,31.0,grejanje na struju,prizemlje,nema,5.045372434059875
78500.0,49.0,etažno grejanje,prizemlje,nema,2.8235172688362313
130000.0,50.0,etažno grejanje,prizemlje,nema,1.288108360912944
145000.0,65.0,grejanje na struju,2,ima,1.247215796362258
185000.0,91.0,centralno grejanje,prizemlje,ima,5.996472446468091
110000.0,48.0,centralno grejanje,1,nema,7.471627532636062
84000.0,57.0,centralno grejanje,prizemlje,nema,1.7086221216318838
73000.0,60.0,grejanje na struju,1,ima,6.0291489815990005
129000.0,66.0,centralno grejanje,1,ima,5.159874329960252
69990.0,53.0,grejanje na struju,4,nema,7.085133108972692
59990.0,47.0,etažno grejanje,4,nema,7.085133108972692
199000.0,71.0,etažno grejanje,1,ima,2.327244414741695
156500.0,57.0,podno grejanje,2,ima,2.327244414741695
95000.0,44.0,centralno grejanje,prizemlje,ima,5.224788083448762
83000.0,49.0,TA peć,prizemlje,ima,1.0322322904597083
250000.0,102.0,centralno grejanje,prizemlje,ima,5.9554535019689805
102000.0,52.0,TA peć,1,ima,7.7467030117958995
150000.0,73.0,centralno grejanje,prizemlje,nema,6.703099944683712
190000.0,77.0,centralno grejanje,3,nema,0.3270440701988306
105000.0,110.0,etažno grejanje,1,ima,8.830291345745577
17000.0,12.0,grejanje na struju,prizemlje,nema,3.740156208222921
61500.0,41.0,grejanje na struju,prizemlje,ima,9.18213622475052
198000.0,182.0,centralno grejanje,2,ima,7.7650400845550545
70000.0,50.0,grejanje na gas,2,nema,8.948098802216819
50000.0,40.0,etažno grejanje,4,nema,9.259603452418926
135000.0,89.0,centralno grejanje,5,ima,5.938591758432152
110000.0,72.0,centralno grejanje,1,ima,8.577405473076347
148000.0,63.0,centralno grejanje,6,ima,0.6936972482561158
85500.0,51.0,centralno grejanje,prizemlje,nema,5.346792313130568
85000.0,53.0,centralno grejanje,1,ima,8.039200798219278
230000.0,74.0,centralno grejanje,2,nema,2.3352096230674784
930000.0,291.0,centralno grejanje,4,ima,3.0269308238589634
129900.0,72.0,centralno grejanje,2,nema,2.015341040269244
118000.0,115.0,centralno grejanje,3,ima,9.18213622475052
160000.0,72.0,centralno grejanje,1,ima,3.7040329556577145
38000.0,55.0,TA peć,prizemlje,ima,13.188243049837876
54000.0,25.0,TA peć,prizemlje,ima,6.5363075659101
210000.0,81.0,centralno grejanje,1,ima,2.2573877440858268
99000.0,45.0,grejanje na struju,1,nema,5.4293662762028285
115000.0,41.0,etažno grejanje,prizemlje,nema,0.9627456293010735
187000.0,110.0,centralno grejanje,2,nema,7.471627532636062
85000.0,52.0,centralno grejanje,2,ima,6.568542146560131
195000.0,60.0,centralno grejanje,1,nema,2.8514053537472064
75000.0,50.0,centralno grejanje,1,ima,6.506360209804863
93700.0,38.0,etažno grejanje,prizemlje,nema,0.8560962461950152
